030.97484583	+42.32971944	 2.26	 37734	 12533	GAM1 AND 	ALMACH
031.12266667	-29.29682778	 4.69	167532	 12767	NU   FOR
031.79334583	+23.46240556	 2.00	 75151	 12929	ALP  ARI 	HAMAL
032.38593750	+34.98728889	 3.00	 55306	 13161	BET  TRI
032.65663333	+19.50033056	 5.70	 92822	 13325	15   ARI
033.22700000	-30.72383333	 5.28	193573	 13709	MU   FOR
033.25000417	 +8.84671667	 4.37	110408	 13611	XI1  CET
033.26375000	+15.27983056	 5.71	 92841	 13596	19   ARI
033.40142083	+51.06584444	 5.31	 23047	 13530
033.62111250	+66.52445000	 6.07	 12180	 13474	55   CAS
033.63319167	-41.16680278	 5.91	215831	 13940
033.92822500	+25.04305833	 5.58	 75238	 13872	21   ARI
034.12751250	-51.51223333	 3.56	232696	 14228	PHI  ERI
034.19003333	+83.56142222	 6.43	   359	 12918
034.24602083	 -6.42214167	 5.51	129798	 14129	67   CET
034.32862500	+33.84722222	 4.01	 55427	 14055	GAM  TRI
034.33286667	-35.98294722	 6.70	193622	 14247
034.50597917	 +1.75777778	 5.58	110456	 14214
034.53139583	+19.90113056	 5.62	 92877	 14191	THE  ARI
034.81996667	+47.37996667	 5.30	 37948	 14212	62   AND
035.41917917	-85.71801944	 7.86	258302	 16701
035.43728750	-68.65940278	 4.09	248545	 15008	DEL  HYI
035.52077500	-17.66222222	 5.87	148356	 14728
035.63569583	-23.81647778	 5.20	167736	 14802	KAP  FOR
035.71783333	-73.64581111	 6.01	255880	 15248	KAP  HYI
036.22470000	-60.31194722	 5.35	248555	 15233	LAM  HOR
036.48752083	-12.29047778	 4.89	148385	 15130	RHO  CET
036.74640417	-47.70389444	 4.25	215906	 15371	KAP  ERI
037.03975417	 +8.46005278	 4.28	110543	 15318	XI2  CET
037.04157500	+29.66932778	 5.30	 75382	 15257	12   TRI
037.72662500	+17.70383333	 6.23	 92983	 15596	27   ARI
037.91862083	-79.10938333	 5.28	255898	 16522	MU   HYI
037.95293333	+89.26408889	 2.02	   308	  8890	ALP  UMI 	POLARIS
038.02182917	-15.24461667	 4.75	148445	 15798	SIG  CET
